daily,dynamic_path_appkey,dynamic_path_page_name,dynamic_path,unique_event_count,total_event_count,page_name
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/r6zvZR5NAEGrQ6UJjMJb6g/insight/competition-app-compare,1,2,3. 경쟁사 주요 지표 비교
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/9YYXWwqo1UefDhDY9EffAA/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsUserMovementPage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/9YYXWwqo1UefDhDY9EffAA/insight/user-movement,1,1,2. 유저동선
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsUserMovementPage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/r6zvZR5NAEGrQ6UJjMJb6g/insight/user-movement,1,2,2. 유저동선
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/r6zvZR5NAEGrQ6UJjMJb6g/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsAudienceProfilePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/PuBmVAFhPkizzM9cKLZwsg/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsUserMovementPage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/17JETGnN4kinhEWTFCH9ww/insight/user-movement,1,2,2. 유저동선
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/HezZ2AU6iUGvDY01e62bQw/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsAudienceProfilePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/9YYXWwqo1UefDhDY9EffAA/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/17JETGnN4kinhEWTFCH9ww/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-11-21,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/17JETGnN4kinhEWTFCH9ww/insight/competition-app-compare,1,2,3. 경쟁사 주요 지표 비교
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsAudienceProfilePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/HezZ2AU6iUGvDY01e62bQw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-11-21,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/PuBmVAFhPkizzM9cKLZwsg/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-11-18,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/G4AQ7IHnb0mr8iJ9ERHF5Q/insight/competition-app-compare,1,2,3. 경쟁사 주요 지표 비교
2022-11-18,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/pcCGZYvEtUmhYCjXT9AURw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-11-18,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsUserMovementPage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/G4AQ7IHnb0mr8iJ9ERHF5Q/insight/user-movement,1,1,2. 유저동선
2022-11-18,EBhJPpVVX02TazkyMNEBuw,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/aC9BO11Ulk27UQx39qtlzA/customer-data/EBhJPpVVX02TazkyMNEBuw/audience-studio/GPxsM8rZWEWiUuuyX2QEZA/insight/competition-app-compare,1,2,3. 경쟁사 주요 지표 비교
2022-11-18,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsUserMovementPage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/xiuDXkzG6EiLybGxuVYrkA/insight/user-movement,1,1,2. 유저동선
2022-11-18,xTJhNH3dHUuhUEz57QkcQQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/tx3e7665V0SiR5shcgQIug/customer-data/xTJhNH3dHUuhUEz57QkcQQ/audience-studio/xiuDXkzG6EiLybGxuVYrkA/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
